ReportTitle
"Water System Details

3/2/2022 10:18:20 AM"

TINWSYS_IS_NUMBER,Regulating_Agency,NUMBER0,SYSTEM_NAME,SYSTEM_STATUS,STATUS_DATE,D_PRIN_CNTY_SVD_NM,D_FED_PRIM_SRC_CD,OWNER_TYPE_CODE,FED_TYPE,STATE_TYPE,D_POPULATION_COUNT,NME,SVC_CONNECT_ALL,INDICATOR_VALUE_CD,INDICATOR_NAME
105,DISTRICT 03 - MENDOCINO,CA1700610,BELLA LAGO MOBILE HOME PARK,A,3/22/1979,LAKE,GW ,P,C,C,152,R - MOBILE HOME PARK,46,SC   ,F_CD
106,DISTRICT 02 - LASSEN,CA1800523,PINEVIEW MOBILE HOME PARK,A,3/22/1979,LASSEN,GW ,P,C,C,113,R - MOBILE HOME PARK,52,SC   ,F_CD
107,DISTRICT 02 - LASSEN,CA1800524,LASSEN MOBILE HOME PARK,A,6/28/1980,LASSEN,GW ,P,C,C,62,R - MOBILE HOME PARK,30,SC   ,F_CD
108,DISTRICT 02 - LASSEN,CA1805005,SIERRA CASCADE NURSERY,A,12/20/2012,LASSEN,GW ,P,NTNC,NTNC,580,R - MOBILE HOME PARK,4,N1   ,F_CD
109,DISTRICT 02 - LASSEN,CA1805006,DAYS END RV PARK,A,3/25/1998,LASSEN,GW ,P,NC,NC,26,R - MOBILE HOME PARK,26,N1   ,F_CD
110,LPA49 - LA COUNTY,CA1900038,LANCASTER PARK MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,61,R - MOBILE HOME PARK,21,SC   ,F_CD
111,LPA49 - LA COUNTY,CA1900055,BLUE SKIES TRAILOR PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,40,R - MOBILE HOME PARK,20,SC   ,F_CD
112,LPA49 - LA COUNTY,CA1900520,THE VILLAGE MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,50,R - MOBILE HOME PARK,34,SC   ,F_CD
113,LPA49 - LA COUNTY,CA1900529,CAMP WILLIAMS-RESORT WATER,A,8/8/2016,LOS ANGELES,GW ,P,C,C,80,R - MOBILE HOME PARK,69,SC   ,F_CD
114,LPA49 - LA COUNTY,CA1900537,OAK GROVE FAMILY PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,109,R - MOBILE HOME PARK,40,SC   ,F_CD
115,LPA49 - LA COUNTY,CA1900541,WESTERN SKIES MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,198,R - MOBILE HOME PARK,61,SC   ,F_CD
116,LPA49 - LA COUNTY,CA1900636,EL RANCHO MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,215,R - MOBILE HOME PARK,76,SC   ,F_CD
117,LPA49 - LA COUNTY,CA1900649,GOLDEN SANDS MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,450,R - MOBILE HOME PARK,152,SC   ,F_CD
118,LPA49 - LA COUNTY,CA1900693,DESERT PALMS MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,140,R - MOBILE HOME PARK,56,SC   ,F_CD
119,LPA49 - LA COUNTY,CA1900717,CASA DULCE ESTATES,A,8/8/2016,LOS ANGELES,GW ,P,C,C,28,R - MOBILE HOME PARK,17,SC   ,F_CD
120,LPA49 - LA COUNTY,CA1900721,TERRA NOVA MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,140,R - MOBILE HOME PARK,75,SC   ,F_CD
121,LPA49 - LA COUNTY,CA1900741,YOUNG-NAK PRESBYTERIAN CHURCH,A,8/8/2016,LOS ANGELES,GW ,P,NC,NC,25,R - MOBILE HOME PARK,1,SC   ,F_CD
122,LPA49 - LA COUNTY,CA1900785,MITCHELL'S AVENUE E MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,24,R - MOBILE HOME PARK,24,SC   ,F_CD
123,LPA49 - LA COUNTY,CA1900817,CLEAR SKIES MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,131,R - MOBILE HOME PARK,47,SC   ,F_CD
124,LPA49 - LA COUNTY,CA1900843,CALIFORNIAN MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,372,R - MOBILE HOME PARK,133,SC   ,F_CD
125,LPA49 - LA COUNTY,CA1900868,RIVERS END TRAILER PARK,A,6/8/2013,LOS ANGELES,GW ,P,C,C,35,R - MOBILE HOME PARK,45,SC   ,F_CD
126,LPA49 - LA COUNTY,CA1900907,SHERWOOD MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,540,R - MOBILE HOME PARK,185,SC   ,F_CD
127,LPA49 - LA COUNTY,CA1900913,LILY OF THE VALLEY MOBILE VILLAGE,A,8/8/2016,LOS ANGELES,GW ,P,C,C,495,R - MOBILE HOME PARK,182,SC   ,F_CD
128,LPA49 - LA COUNTY,CA1900942,ALPINE SPRINGS MOBILE HOME PARK,A,8/8/2016,LOS ANGELES,GW ,P,C,C,175,R - MOBILE HOME PARK,53,SC   ,F_CD
129,LPA49 - LA COUNTY,CA1900961,WINTERHAVEN MOBILE ESTATES,A,8/8/2016,LOS ANGELES,GW ,P,C,C,56,R - MOBILE HOME PARK,20,SC   ,F_CD
130,LPA49 - LA COUNTY,CA1900975,CALI LAKE RV RESORT,A,8/8/2016,LOS ANGELES,GW ,P,C,C,99,R - MOBILE HOME PARK,47,SC   ,F_CD
